cbsa,Education_Total,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Income_Total,"$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Occupation_Total,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate, and rental and leasing","Professional, scientific, and management, and administrative, and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",year,metropolitan_area,city,state
46340,118708,18796,32774,40590,17292,9256,68162,3458,5556,6618,7079,3082,1484,1083,2029,82725,1947,6420,6745,3182,12061,3144,2096,4825,6549,20111,8290,5143,2212,25375,14964,22126,292,19968.0,2005,True,Tyler,TX
46540,191398,25559,67306,60102,22896,15535,117643,5686,11965,11702,10856,5910,2117,1548,1221,128968,1674,7090,16822,3422,16218,3997,2575,9707,7711,35573,9983,5707,8489,40821,26653,32835,523,28136.0,2005,True,Utica-Rome,NY
46660,71607,14543,21288,19495,10565,5716,47763,1800,4039,4795,5130,2295,848,907,552,54666,2298,2911,6285,2012,7593,2997,1192,2042,3530,13100,5350,2060,3296,17023,9392,14685,1593,11973.0,2005,True,Valdosta,GA
46700,246566,31218,61456,97723,41214,14955,134624,4995,8506,17328,22250,13145,8072,6650,3919,177410,2124,16531,16469,5402,19968,11567,3621,14352,18541,34029,12461,9026,13319,59309,28483,47456,1016,41146.0,2005,True,Vallejo-Fairfield,CA
47020,73235,18387,24509,18978,7800,3561,43031,1613,3505,4301,4401,2107,1152,349,435,53356,2377,6109,7391,1487,5668,2498,952,2182,2816,11922,5208,2809,1937,14240,10051,11924,122,17019.0,2005,True,Victoria,TX
47260,1010774,121382,279282,339665,171197,99248,617762,32174,56985,74409,83791,48440,21763,17993,12780,736322,3376,56310,72877,19324,91243,33619,16901,48170,74638,148855,66844,33078,71087,256226,117825,195825,1872,164574.0,2005,True,Virginia Beach-Norfolk-Newport News,VA-NC
47300,226807,78286,55851,64227,20192,8251,119621,5272,9670,10857,11238,5963,3247,2434,1963,155366,26753,10590,13575,8408,16577,7542,1042,5552,9439,32691,8225,6636,8336,37313,23803,33640,23458,37152.0,2005,True,Visalia-Porterville,CA
47380,129539,27156,36952,37787,17475,10169,80546,4467,5518,7571,7897,3296,1729,1327,1102,98143,1766,8226,12576,3422,11217,4332,2334,5086,7806,24665,8055,4917,3741,30512,15893,25616,604,25518.0,2005,True,Waco,TX
47900,3387171,371787,679742,780350,832241,723051,1944465,78635,147324,195719,287886,222313,143873,158212,157110,2679799,8810,195512,94636,46067,239474,100727,108733,188554,516564,470775,190537,168053,351357,1321646,374981,604626,3312,375234.0,2005,True,Washington-Arlington-Alexandria,DC-VA-MD-WV
47940,100856,10306,35699,30586,15805,8460,65373,3493,6784,7122,6328,3085,1074,837,848,79624,1668,5074,15129,3717,10533,3476,1066,4168,5748,17626,5016,3354,3049,23531,10742,21472,448,23431.0,2005,True,Waterloo-Cedar Falls,IA
48140,85759,11191,32660,23497,13131,5280,52478,2892,5007,7343,7647,3390,880,863,1047,70560,2833,4175,16712,3101,8814,2708,1131,5249,2699,14495,4379,2764,1500,20790,8988,19208,1065,20509.0,2005,True,Wausau,WI
48260,89157,12467,41930,23457,7656,3647,53906,2776,4818,5871,4330,2032,812,727,289,53819,639,3158,8192,1519,7305,3740,947,2224,3627,12796,6112,2008,1552,13611,11228,12022,30,16928.0,2005,True,Weirton-Steubenville,WV-OH
48300,65715,11505,17062,21508,11154,4486,39057,1774,3378,4511,4321,1557,646,829,522,47927,6098,3111,3312,3998,6341,2587,1157,1190,2404,9348,3961,1621,2799,13634,7779,10939,4369,11206.0,2005,True,Wenatchee,WA
48540,101006,12690,44305,27476,9938,6597,62947,2941,5763,7100,4323,2194,689,879,704,60300,2392,4011,6028,2110,7940,3681,756,2668,3551,14623,5686,3708,3146,15764,12275,15328,0,16933.0,2005,True,Wheeling,WV-OH
48620,368421,45550,116658,115121,61712,29380,226366,11935,20409,24391,24145,13977,6821,3983,3828,281412,4705,18560,59946,7828,29277,12961,5172,14383,21881,58566,24353,13171,10609,89932,45685,73113,943,71739.0,2005,True,Wichita,KS
48660,89466,14931,30799,26186,12589,4961,55559,2736,4333,5916,7069,2087,1222,790,493,62132,2289,4967,5804,1622,8342,2792,1055,3966,3456,13541,4106,3330,6862,19240,11501,15975,787,14629.0,2005,True,Wichita Falls,TX
48700,77201,12502,32030,19599,7948,5122,48270,2476,5085,4977,4295,1645,797,794,469,54241,467,3997,9146,1695,8224,2512,591,1988,2814,13883,3431,3025,2468,14546,9368,12405,94,17828.0,2005,True,Williamsport,PA
48900,212767,27246,59248,66138,42445,17690,138238,7701,11184,12483,13547,8224,3547,2728,3165,151085,1299,19998,9831,4499,21116,6330,3062,8519,15858,29991,17017,7990,5575,46864,26128,40652,1038,36403.0,2005,True,Wilmington,NC
49020,74570,13324,27315,18606,9826,5499,43653,1981,3899,5648,5334,2776,1532,1513,1000,58258,912,5915,7493,2516,6510,2741,1445,3230,6117,11294,4443,2753,2889,17721,9541,15313,289,15394.0,2005,True,Winchester,VA-WV
49180,293943,50208,90062,78983,50530,24160,180887,7909,18826,19812,18897,8596,4638,4100,4072,211537,2168,14944,35005,7726,22887,11254,3760,16770,17692,46638,16610,10087,5996,68729,35383,53254,590,53581.0,2005,True,Winston-Salem,NC
49340,511379,60769,154148,130159,105391,60912,284040,12703,23959,28336,41015,27562,13372,13882,7663,379712,1202,26292,58421,14105,43761,13374,9533,28104,38845,90833,24034,16797,14411,149555,58228,93182,807,77940.0,2005,True,Worcester,MA
49420,133680,40629,37720,33653,14158,7520,76288,2705,7002,7855,7600,2815,905,993,718,97914,14649,4691,9967,9375,9589,3715,1230,2784,4779,20925,7647,3969,4594,24596,15949,20612,12838,23919.0,2005,True,Yakima,WA
