year,cbsa_code,PM2.5_sample_duration,PM2.5_arithmetic_mean,PM2.5_standard_deviation,PM2.5_ninety_ninth_percentile,PM2.5_seventy_fifth_percentile,Ozone_sample_duration,Ozone_arithmetic_mean,Ozone_standard_deviation,Ozone_ninety_ninth_percentile,Ozone_seventy_fifth_percentile,Carbon_monoxide_sample_duration,Carbon_monoxide_arithmetic_mean,Carbon_monoxide_standard_deviation,Carbon_monoxide_ninety_ninth_percentile,Carbon_monoxide_seventy_fifth_percentile,Sulfur_dioxide_sample_duration,Sulfur_dioxide_arithmetic_mean,Sulfur_dioxide_standard_deviation,Sulfur_dioxide_ninety_ninth_percentile,Sulfur_dioxide_seventy_fifth_percentile,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
2019.0,24500.0,0.0,5.5596665,3.703264833333334,17.749999999999996,7.050000000000001,0.0,0.04444971450181684,0.011767964503664468,0.07222004557803402,0.05265025098824992,0.0,0.33062749999999996,0.17400949999999998,0.9500000000000001,0.4,0.0,1.4440680000000001,0.86114175,3.9,2.0,0.9641873278236914,0.03305785123966942,0.0027548209366391185,0.0,0.0,106.0,38.0,21.0,0.0,0.0,0.0,0.0,363.0,0.0
2005.0,24540.0,1.0,8.691228,3.935202,21.4,10.3,0.0,0.056579500000000005,0.0120445,0.0845,0.06375,0.0,0.6554960000000001,0.4120435,2.3,0.7,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.6684931506849315,0.27945205479452057,0.052054794520547946,0.0,0.0,147.0,84.0,44.0,27.0,0.0,301.0,0.0,37.0,0.0
2006.0,24540.0,1.0,8.203636,3.251038,16.8,10.1,0.0,0.059013,0.011749,0.08675000000000001,0.06675,0.0,0.502751,0.4365105,2.15,0.6,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.5726027397260274,0.35342465753424657,0.0684931506849315,0.005479452054794521,0.0,161.0,97.0,47.0,16.0,0.0,294.0,0.0,54.0,1.0
2007.0,24540.0,1.0,11.522414,9.291026,50.2,12.1,0.0,0.05653625,0.011932,0.078,0.066,0.0,0.504649,0.4011265,2.0,0.6,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.6136986301369863,0.3424657534246575,0.043835616438356165,0.0,0.0,139.0,93.0,45.0,17.0,0.0,299.0,0.0,47.0,2.0
2008.0,24540.0,1.0,8.222951,4.440998,26.4,10.0,0.0,0.055099,0.011105,0.08,0.06275,0.0,0.4168615,0.315867,1.7,0.5,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.674863387978142,0.30327868852459017,0.02185792349726776,0.0,0.0,122.0,79.0,43.5,22.0,0.0,297.0,0.0,45.0,2.0
2009.0,24540.0,1.0,8.016393,4.030144,24.8,9.2,0.0,0.05226875,0.00961325,0.07375000000000001,0.058499999999999996,0.0,0.4157385,0.2848735,1.6,0.4,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.7589041095890411,0.2356164383561644,0.005479452054794521,0.0,0.0,108.0,68.0,43.0,13.0,0.0,311.0,0.0,40.0,1.0
2010.0,24540.0,1.0,8.216393,4.549036,24.1,10.5,0.0,0.05581524999999999,0.010046250000000001,0.07574999999999998,0.06224999999999999,0.0,0.3979645,0.276054,1.65,0.4,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.6328767123287671,0.34794520547945207,0.019178082191780823,0.0,0.0,126.0,77.0,46.0,16.0,0.0,309.0,0.0,39.0,1.0
2011.0,24540.0,1.0,8.161017,4.624374,25.7,10.2,0.0,0.056647625,0.010074375,0.07825,0.063625,0.0,0.299643,0.24717050000000002,1.25,0.35,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.5917808219178082,0.37534246575342467,0.03287671232876712,0.0,0.0,136.0,84.0,46.0,11.0,0.0,323.0,0.0,30.0,1.0
2012.0,24540.0,1.0,8.961017,5.441539,36.1,11.0,0.0,0.0591190625,0.00953875,0.0831875,0.065,0.0,0.374652,0.22599049999999998,1.35,0.4,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.5573770491803278,0.3879781420765027,0.04918032786885246,0.00546448087431694,0.0,161.0,90.0,48.0,2.0,0.0,335.0,0.0,28.0,1.0
2013.0,24540.0,1.0,8.357895,5.088676,24.2,10.0,0.0,0.055733849999999995,0.0090381,0.07419999999999999,0.06174999999999999,0.0,0.349668,0.207671,1.2,0.4,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.6191780821917808,0.3506849315068493,0.030136986301369864,0.0,0.0,133.0,87.0,46.0,0.0,0.0,334.0,0.0,31.0,0.0
