cbsa_code,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,"$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more","Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate, and rental and leasing","Professional, scientific, and management, and administrative, and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",year,aqi_cluster
17140,0.08639727439792787,0.29546968981092014,0.27812285410016424,0.20808814009247578,0.13192204159851192,0.037105740636611845,0.07831914067255241,0.10670755389636363,0.12818030572672412,0.1002231793492438,0.06126128215086924,0.061810825067968256,0.06687380801938472,0.005105908381995575,0.051253128286968194,0.1332360088498785,0.03003971564324834,0.11670233216060354,0.057997533640419284,0.017626310253527257,0.07653512748902833,0.11814859816473831,0.23035617133945088,0.08972471074679918,0.0384235247180008,0.034850930325341846,0.4025089768234739,0.15963603061187479,0.2221310434877226,0.06653730368865837,0.14918664538827028,2018,0.0
17140,0.0840010881021907,0.2962979795920686,0.26563394985773797,0.21943505573850258,0.1346319267095001,0.03331607190617371,0.08306426372425724,0.09474474901695223,0.12655509335397117,0.10717297657188056,0.06407821133677424,0.07716768433212504,0.07910817224248701,0.004047152253903309,0.057500994473568316,0.1427016295159755,0.03013876457969285,0.11223255764395004,0.05509294776172413,0.011771192942079019,0.07560662887667106,0.11769861057835741,0.22821214962565173,0.09213087272159003,0.038690349344357784,0.0341761496824788,0.4234353023909986,0.15862297376010456,0.20414766511812926,0.06664748753356348,0.14714657119720412,2019,0.0
17300,0.13385565085807624,0.3181140000424265,0.35848282786856267,0.13010797547747505,0.05943954575345953,0.0627398462733094,0.11109735648611846,0.11195264407657075,0.08998525754284878,0.04063741433056865,0.013211942515670894,0.011478859766596518,0.010139659460493592,0.01649211508366438,0.08130054608927849,0.1588036376768771,0.018527638245948105,0.12231743217658711,0.04608380664718693,0.010484038653052738,0.03748207973560086,0.08204471584753274,0.20857546209658887,0.06260875274959782,0.04939973954058461,0.10588003545750024,0.2842290729614673,0.17849130525186863,0.21944252930168423,0.005439005439005439,0.3123980870459744,2005,1.0
17300,0.12259066722081037,0.34120717025610975,0.33555899245774085,0.1372732041996825,0.06336996586565649,0.06592987804878049,0.10362587108013938,0.11162891986062717,0.105095818815331,0.0492595818815331,0.022495644599303137,0.016136759581881533,0.013218641114982579,0.01426404929316068,0.05614414643716925,0.15405173236613534,0.01871825055942647,0.12096338010244663,0.047172112457976735,0.021221087461423434,0.04592069400697825,0.06963401312928849,0.20116021337745113,0.09238225531057448,0.04654640323247749,0.1118216622654916,0.26700815543041373,0.18831726639305144,0.2617585610808862,0.0014847337554219295,0.28143128334022677,2006,1.0
17300,0.12982826620291296,0.3432129436974007,0.3320952765442067,0.13708891028228937,0.05777460327319028,0.057592312916206326,0.09424380948519648,0.09979829513779787,0.12192501444368987,0.0644340607547208,0.030083418644016258,0.02248147660122239,0.011413048986914524,0.015337872822657066,0.07746114242729164,0.1776164750246676,0.0067408485653715775,0.1143892693506316,0.05514795674133703,0.011508289289866257,0.045505612489131604,0.06200603745567159,0.22084582995476792,0.08614609079629937,0.046726780707496016,0.08056779437481072,0.29760357948828164,0.17292718906614823,0.23952481902287004,0.003565811197624095,0.28637860122507597,2007,0.0
17300,0.12746337007795197,0.3271230339960711,0.36347142803518473,0.11908634776842132,0.06285582012237084,0.056444394143611167,0.07308139475065077,0.12162398526642865,0.12485467060385007,0.055899087382836214,0.020917144238782628,0.017213173788235777,0.01815974401448664,0.021320377824397982,0.06813687602260522,0.15838711944028988,0.019302771448360317,0.12887586199973902,0.06000622346245345,0.01421358521626532,0.0445981349688325,0.0922979633217229,0.2096001927265792,0.08112584443351435,0.04086405749676279,0.06127099163847706,0.2821236059945996,0.17185790429920803,0.24790460034329423,0.007548457685474238,0.2905654316774239,2008,1.0
17300,0.1245009410385363,0.3497577982783623,0.34436456758507916,0.11024652124278794,0.07113017185523433,0.050104947526236884,0.09570214892553723,0.09859070464767616,0.11825087456271864,0.05076461769115442,0.03558220889555223,0.01650174912543728,0.005827086456771614,0.015430669999691386,0.06780236397864395,0.11847668425763047,0.019833554506269994,0.14204446090382578,0.04560277340575461,0.025275437459494492,0.04864775895236038,0.076916746391795,0.21816909956896996,0.09008425145819832,0.04767048318571326,0.08404571593165241,0.29680379388739725,0.1829974590830067,0.2713534755012396,0.00922754065981545,0.239617730868541,2009,1.0
17300,0.1191854143005582,0.34672450039871444,0.34642848512674285,0.12442911340405481,0.06323248676992968,0.04952594432496289,0.08371449630953463,0.1256272781429538,0.11113803653106352,0.05814881006472198,0.02294045779945274,0.011833722069083896,0.011752945809226669,0.012460038521872083,0.058428148765910126,0.12813486626556264,0.021187029645956198,0.13710013701078216,0.05446675006453407,0.014177637457556442,0.05328528027640436,0.08853080756934929,0.22995969103075792,0.07978395981017057,0.03903814459601676,0.08344750898512739,0.29180318103294217,0.17077699013125236,0.25730227755604534,0.1077222453882965,0.17239530589146362,2010,1.0
17300,0.13434632344178285,0.32208914312954356,0.34461923489452984,0.13410797282803003,0.0648373257061137,0.04202100550620072,0.0927460052563731,0.10693621401233148,0.11628976006555476,0.05340315182524059,0.020575802696139664,0.029669528025662292,0.019966223305918917,0.018853493061556953,0.06752689453765236,0.1253588421690457,0.01925082695115773,0.15341061477486068,0.03404158099154672,0.012833884634105154,0.03592891696715042,0.07497690496766696,0.23060265617705197,0.10228367653048048,0.037508319178313515,0.08742338905941135,0.3170823772486615,0.18818726346216885,0.24863168141768732,0.089797459049776,0.15630121882170636,2011,1.0
17300,0.10016575348772963,0.32348404622680604,0.3695497030250012,0.12940858234725355,0.07739191491320964,0.05189626683289303,0.08586383290292578,0.1275787348986316,0.11335054963539039,0.054082935082667934,0.029297396776395857,0.015296783321954744,0.015771715792494086,0.015685942004409023,0.0587586908597592,0.12886967007706368,0.016929512181335142,0.13358958415766964,0.042620541518286134,0.014385845910349896,0.045606994140146594,0.08138789968533906,0.22362594916435852,0.09637668871177435,0.049431914532813294,0.0927307670566955,0.2916266274753641,0.19595651272775233,0.25551598741356246,0.09821378101859703,0.15868709136472406,2012,1.0
